secID,ticker,SecShortName,reportDate,holdingsecType,holdingSecID,holdingTicker,holdingExchangeCd,holdingsecShortName,holdVolume,marketValue,ratioInNa,publishDate,currencyCd
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000527.XSHE,000527,XSHE,美的电器,600000,11034000.0,1.17,2011-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2012-09-30,E,000538.XSHE,000538,XSHE,云南白药,369428,22978421.6,2.9,2012-10-24,CNY
519674.OFCN,519674,银河创新成长混合,2012-12-31,E,000538.XSHE,000538,XSHE,云南白药,250000,17000000.0,1.73,2013-03-29,CNY
519674.OFCN,519674,银河创新成长混合,2013-03-31,E,000538.XSHE,000538,XSHE,云南白药,271943,23251126.5,2.55,2013-04-19,CNY
519674.OFCN,519674,银河创新成长混合,2013-06-30,E,000538.XSHE,000538,XSHE,云南白药,399924,33597615.24,3.25,2013-07-17,CNY
519674.OFCN,519674,银河创新成长混合,2013-09-30,E,000538.XSHE,000538,XSHE,云南白药,419924,49156303.44,4.74,2013-10-25,CNY
519674.OFCN,519674,银河创新成长混合,2015-03-31,E,000566.XSHE,000566,XSHE,海南海药,1749977,51431824.03,3.86,2015-04-22,CNY
519674.OFCN,519674,银河创新成长混合,2015-06-30,E,000566.XSHE,000566,XSHE,海南海药,700000,28525000.0,2.48,2015-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000568.XSHE,000568,XSHE,泸州老窖,600000,27072000.0,2.88,2011-07-21,CNY
519674.OFCN,519674,银河创新成长混合,2011-09-30,E,000568.XSHE,000568,XSHE,泸州老窖,946800,36830520.0,4.57,2011-10-25,CNY
519674.OFCN,519674,银河创新成长混合,2011-12-31,E,000568.XSHE,000568,XSHE,泸州老窖,999800,37292540.0,5.05,2012-01-18,CNY
519674.OFCN,519674,银河创新成长混合,2012-03-31,E,000568.XSHE,000568,XSHE,泸州老窖,900000,35181000.0,4.87,2012-04-24,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000596.XSHE,000596,XSHE,古井贡酒,157888,12548938.24,1.33,2011-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2011-12-31,E,000596.XSHE,000596,XSHE,古井贡酒,159050,13675119.0,1.85,2012-03-27,CNY
519674.OFCN,519674,银河创新成长混合,2012-06-30,E,000596.XSHE,000596,XSHE,古井贡酒,286136,13517064.64,1.82,2012-08-23,CNY
519674.OFCN,519674,银河创新成长混合,2012-06-30,E,000598.XSHE,000598,XSHE,兴蓉环境,499906,4074233.9,0.55,2012-08-23,CNY
519674.OFCN,519674,银河创新成长混合,2013-12-31,E,000625.XSHE,000625,XSHE,长安汽车,2364983,27079055.35,2.37,2014-01-21,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,000630.XSHE,000630,XSHE,铜陵有色,2000000,6160000.0,2.69,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000651.XSHE,000651,XSHE,格力电器,973966,22888201.0,2.43,2011-07-21,CNY
519674.OFCN,519674,银河创新成长混合,2012-03-31,E,000651.XSHE,000651,XSHE,格力电器,1865167,37918845.11,5.25,2012-04-24,CNY
519674.OFCN,519674,银河创新成长混合,2012-06-30,E,000651.XSHE,000651,XSHE,格力电器,1549887,32315143.95,4.36,2012-07-19,CNY
519674.OFCN,519674,银河创新成长混合,2013-12-31,E,000651.XSHE,000651,XSHE,格力电器,699914,22859191.24,2.0,2014-03-28,CNY
